Date,Item Code,Item Name,Consumed,Wasted,Order Placed,Order Qty,Season,Holiday/Event,Demand Spike
2024-06-25,SPR001,Steel Spring,112,4,No,,Summer,,No
2024-06-25,BOL001,Hex Bolt M8,188,5,No,,Summer,,No
2024-06-25,ASM001,Spring Assembly,20,0,No,,Summer,,No
2024-06-26,SPR001,Steel Spring,97,4,No,,Summer,,No
2024-06-26,BOL001,Hex Bolt M8,120,4,No,,Summer,,No
2024-06-26,ASM001,Spring Assembly,16,1,No,,Summer,,No
2024-06-27,SPR001,Steel Spring,126,6,No,,Summer,,No
2024-06-27,BOL001,Hex Bolt M8,212,8,No,,Summer,,No
2024-06-27,ASM001,Spring Assembly,20,0,No,,Summer,,No
2024-06-28,SPR001,Steel Spring,119,4,No,,Summer,,No
2024-06-28,BOL001,Hex Bolt M8,206,8,No,,Summer,,No
2024-06-28,ASM001,Spring Assembly,18,0,No,,Summer,,No
2024-07-01,SPR001,Steel Spring,100,4,Yes,600.0,Summer,,No
2024-07-01,BOL001,Hex Bolt M8,157,4,Yes,1200.0,Summer,,No
2024-07-01,ASM001,Spring Assembly,19,0,Yes,120.0,Summer,,No
2024-07-02,SPR001,Steel Spring,101,6,No,,Summer,,No
2024-07-02,BOL001,Hex Bolt M8,232,8,No,,Summer,,No
2024-07-02,ASM001,Spring Assembly,26,0,No,,Summer,,No
2024-07-03,SPR001,Steel Spring,108,4,No,,Summer,,No
2024-07-03,BOL001,Hex Bolt M8,206,7,No,,Summer,,No
2024-07-03,ASM001,Spring Assembly,23,2,No,,Summer,,No
2024-07-04,SPR001,Steel Spring,85,5,No,,Summer,,No
2024-07-04,BOL001,Hex Bolt M8,216,6,No,,Summer,,No
2024-07-04,ASM001,Spring Assembly,17,2,No,,Summer,,No
2024-07-05,SPR001,Steel Spring,98,4,No,,Summer,,No
2024-07-05,BOL001,Hex Bolt M8,186,7,No,,Summer,,No
2024-07-05,ASM001,Spring Assembly,17,1,No,,Summer,,No
2024-07-08,SPR001,Steel Spring,93,3,Yes,600.0,Summer,,No
2024-07-08,BOL001,Hex Bolt M8,144,4,Yes,1200.0,Summer,,No
2024-07-08,ASM001,Spring Assembly,25,2,Yes,120.0,Summer,,No
2024-07-09,SPR001,Steel Spring,91,3,No,,Summer,,No
2024-07-09,BOL001,Hex Bolt M8,184,5,No,,Summer,,No
2024-07-09,ASM001,Spring Assembly,23,2,No,,Summer,,No
2024-07-10,SPR001,Steel Spring,104,6,No,,Summer,,No
2024-07-10,BOL001,Hex Bolt M8,187,5,No,,Summer,,No
2024-07-10,ASM001,Spring Assembly,20,2,No,,Summer,,No
2024-07-11,SPR001,Steel Spring,92,3,No,,Summer,,No
2024-07-11,BOL001,Hex Bolt M8,231,6,No,,Summer,,No
2024-07-11,ASM001,Spring Assembly,26,0,No,,Summer,,No
2024-07-12,SPR001,Steel Spring,104,5,No,,Summer,,No
2024-07-12,BOL001,Hex Bolt M8,178,5,No,,Summer,,No
2024-07-12,ASM001,Spring Assembly,24,2,No,,Summer,,No
2024-07-15,SPR001,Steel Spring,112,4,Yes,600.0,Summer,,No
2024-07-15,BOL001,Hex Bolt M8,260,7,Yes,1200.0,Summer,,No
2024-07-15,ASM001,Spring Assembly,18,0,Yes,120.0,Summer,,No
2024-07-16,SPR001,Steel Spring,99,4,No,,Summer,,No
2024-07-16,BOL001,Hex Bolt M8,209,7,No,,Summer,,No
2024-07-16,ASM001,Spring Assembly,18,1,No,,Summer,,No
2024-07-17,SPR001,Steel Spring,96,3,No,,Summer,,No
2024-07-17,BOL001,Hex Bolt M8,203,8,No,,Summer,,No
2024-07-17,ASM001,Spring Assembly,21,1,No,,Summer,,No
2024-07-18,SPR001,Steel Spring,100,4,No,,Summer,,No
2024-07-18,BOL001,Hex Bolt M8,223,8,No,,Summer,,No
2024-07-18,ASM001,Spring Assembly,23,0,No,,Summer,,No
2024-07-19,SPR001,Steel Spring,91,3,No,,Summer,,No
2024-07-19,BOL001,Hex Bolt M8,201,6,No,,Summer,,No
2024-07-19,ASM001,Spring Assembly,19,2,No,,Summer,,No
2024-07-22,SPR001,Steel Spring,106,6,Yes,600.0,Summer,,No
2024-07-22,BOL001,Hex Bolt M8,190,7,Yes,1200.0,Summer,,No
2024-07-22,ASM001,Spring Assembly,21,0,Yes,120.0,Summer,,No
2024-07-23,SPR001,Steel Spring,104,4,No,,Summer,,No
2024-07-23,BOL001,Hex Bolt M8,184,7,No,,Summer,,No
2024-07-23,ASM001,Spring Assembly,18,1,No,,Summer,,No
2024-07-24,SPR001,Steel Spring,101,6,No,,Summer,,No
2024-07-24,BOL001,Hex Bolt M8,183,7,No,,Summer,,No
2024-07-24,ASM001,Spring Assembly,22,1,No,,Summer,,No
2024-07-25,SPR001,Steel Spring,100,6,No,,Summer,,No
2024-07-25,BOL001,Hex Bolt M8,179,6,No,,Summer,,No
2024-07-25,ASM001,Spring Assembly,26,1,No,,Summer,,No
2024-07-26,SPR001,Steel Spring,103,4,No,,Summer,,No
2024-07-26,BOL001,Hex Bolt M8,193,5,No,,Summer,,No
2024-07-26,ASM001,Spring Assembly,20,0,No,,Summer,,No
2024-07-29,SPR001,Steel Spring,71,3,Yes,600.0,Summer,,No
2024-07-29,BOL001,Hex Bolt M8,167,7,Yes,1200.0,Summer,,No
2024-07-29,ASM001,Spring Assembly,21,0,Yes,120.0,Summer,,No
2024-07-30,SPR001,Steel Spring,112,6,No,,Summer,,No
2024-07-30,BOL001,Hex Bolt M8,216,8,No,,Summer,,No
2024-07-30,ASM001,Spring Assembly,18,2,No,,Summer,,No
2024-07-31,SPR001,Steel Spring,100,6,No,,Summer,,No
2024-07-31,BOL001,Hex Bolt M8,215,7,No,,Summer,,No
2024-07-31,ASM001,Spring Assembly,24,1,No,,Summer,,No
2024-08-01,SPR001,Steel Spring,112,4,No,,Summer,,No
2024-08-01,BOL001,Hex Bolt M8,227,8,No,,Summer,,No
2024-08-01,ASM001,Spring Assembly,23,1,No,,Summer,,No
2024-08-02,SPR001,Steel Spring,87,5,No,,Summer,,No
2024-08-02,BOL001,Hex Bolt M8,193,7,No,,Summer,,No
2024-08-02,ASM001,Spring Assembly,18,2,No,,Summer,,No
2024-08-05,SPR001,Steel Spring,87,3,Yes,600.0,Summer,,No
2024-08-05,BOL001,Hex Bolt M8,195,5,Yes,1200.0,Summer,,No
2024-08-05,ASM001,Spring Assembly,24,1,Yes,120.0,Summer,,No
2024-08-06,SPR001,Steel Spring,105,6,No,,Summer,,No
2024-08-06,BOL001,Hex Bolt M8,234,9,No,,Summer,,No
2024-08-06,ASM001,Spring Assembly,18,1,No,,Summer,,No
2024-08-07,SPR001,Steel Spring,79,3,No,,Summer,,No
2024-08-07,BOL001,Hex Bolt M8,179,5,No,,Summer,,No
2024-08-07,ASM001,Spring Assembly,20,1,No,,Summer,,No
2024-08-08,SPR001,Steel Spring,74,4,No,,Summer,,No
2024-08-08,BOL001,Hex Bolt M8,208,6,No,,Summer,,No
2024-08-08,ASM001,Spring Assembly,24,0,No,,Summer,,No
2024-08-09,SPR001,Steel Spring,112,6,No,,Summer,,No
2024-08-09,BOL001,Hex Bolt M8,191,6,No,,Summer,,No
2024-08-09,ASM001,Spring Assembly,15,2,No,,Summer,,No
2024-08-12,SPR001,Steel Spring,113,5,Yes,600.0,Summer,,No
2024-08-12,BOL001,Hex Bolt M8,242,9,Yes,1200.0,Summer,,No
2024-08-12,ASM001,Spring Assembly,21,0,Yes,120.0,Summer,,No
2024-08-13,SPR001,Steel Spring,107,6,No,,Summer,,No
2024-08-13,BOL001,Hex Bolt M8,243,9,No,,Summer,,No
2024-08-13,ASM001,Spring Assembly,16,0,No,,Summer,,No
2024-08-14,SPR001,Steel Spring,109,5,No,,Summer,,No
2024-08-14,BOL001,Hex Bolt M8,224,6,No,,Summer,,No
2024-08-14,ASM001,Spring Assembly,22,0,No,,Summer,,No
2024-08-15,SPR001,Steel Spring,107,6,No,,Summer,,No
2024-08-15,BOL001,Hex Bolt M8,220,7,No,,Summer,,No
2024-08-15,ASM001,Spring Assembly,15,1,No,,Summer,,No
2024-08-16,SPR001,Steel Spring,102,4,No,,Summer,,No
2024-08-16,BOL001,Hex Bolt M8,199,7,No,,Summer,,No
2024-08-16,ASM001,Spring Assembly,16,1,No,,Summer,,No
2024-08-19,SPR001,Steel Spring,102,6,Yes,600.0,Summer,,No
2024-08-19,BOL001,Hex Bolt M8,221,8,Yes,1200.0,Summer,,No
2024-08-19,ASM001,Spring Assembly,21,0,Yes,120.0,Summer,,No
2024-08-20,SPR001,Steel Spring,96,3,No,,Summer,,No
2024-08-20,BOL001,Hex Bolt M8,186,5,No,,Summer,,No
2024-08-20,ASM001,Spring Assembly,15,1,No,,Summer,,No
2024-08-21,SPR001,Steel Spring,102,6,No,,Summer,,No
2024-08-21,BOL001,Hex Bolt M8,160,5,No,,Summer,,No
2024-08-21,ASM001,Spring Assembly,19,1,No,,Summer,,No
2024-08-22,SPR001,Steel Spring,97,4,No,,Summer,,No
2024-08-22,BOL001,Hex Bolt M8,191,6,No,,Summer,,No
2024-08-22,ASM001,Spring Assembly,17,2,No,,Summer,,No
2024-08-23,SPR001,Steel Spring,114,6,No,,Summer,,No
2024-08-23,BOL001,Hex Bolt M8,221,7,No,,Summer,,No
2024-08-23,ASM001,Spring Assembly,21,0,No,,Summer,,No
2024-08-26,SPR001,Steel Spring,111,5,Yes,600.0,Summer,,No
2024-08-26,BOL001,Hex Bolt M8,195,7,Yes,1200.0,Summer,,No
2024-08-26,ASM001,Spring Assembly,20,0,Yes,120.0,Summer,,No
2024-08-27,SPR001,Steel Spring,105,4,No,,Summer,,No
2024-08-27,BOL001,Hex Bolt M8,204,6,No,,Summer,,No
2024-08-27,ASM001,Spring Assembly,17,2,No,,Summer,,No
2024-08-28,SPR001,Steel Spring,84,4,No,,Summer,,No
2024-08-28,BOL001,Hex Bolt M8,182,6,No,,Summer,,No
2024-08-28,ASM001,Spring Assembly,22,2,No,,Summer,,No
2024-08-29,SPR001,Steel Spring,112,6,No,,Summer,,No
2024-08-29,BOL001,Hex Bolt M8,189,6,No,,Summer,,No
2024-08-29,ASM001,Spring Assembly,21,0,No,,Summer,,No
2024-08-30,SPR001,Steel Spring,120,5,No,,Summer,,No
2024-08-30,BOL001,Hex Bolt M8,174,5,No,,Summer,,No
2024-08-30,ASM001,Spring Assembly,16,1,No,,Summer,,No
2024-09-02,SPR001,Steel Spring,105,5,Yes,600.0,Autumn,,No
2024-09-02,BOL001,Hex Bolt M8,223,6,Yes,1200.0,Autumn,,No
2024-09-02,ASM001,Spring Assembly,17,2,Yes,120.0,Autumn,,No
2024-09-03,SPR001,Steel Spring,108,6,No,,Autumn,,No
2024-09-03,BOL001,Hex Bolt M8,170,7,No,,Autumn,,No
2024-09-03,ASM001,Spring Assembly,24,1,No,,Autumn,,No
2024-09-04,SPR001,Steel Spring,111,6,No,,Autumn,,No
2024-09-04,BOL001,Hex Bolt M8,163,4,No,,Autumn,,No
2024-09-04,ASM001,Spring Assembly,22,1,No,,Autumn,,No
2024-09-05,SPR001,Steel Spring,79,4,No,,Autumn,,No
2024-09-05,BOL001,Hex Bolt M8,174,5,No,,Autumn,,No
2024-09-05,ASM001,Spring Assembly,18,1,No,,Autumn,,No
2024-09-06,SPR001,Steel Spring,108,5,No,,Autumn,,No
2024-09-06,BOL001,Hex Bolt M8,156,6,No,,Autumn,,No
2024-09-06,ASM001,Spring Assembly,22,2,No,,Autumn,,No
2024-09-09,SPR001,Steel Spring,120,4,Yes,600.0,Autumn,,No
2024-09-09,BOL001,Hex Bolt M8,208,6,Yes,1200.0,Autumn,,No
2024-09-09,ASM001,Spring Assembly,22,2,Yes,120.0,Autumn,,No
2024-09-10,SPR001,Steel Spring,100,5,No,,Autumn,,No
2024-09-10,BOL001,Hex Bolt M8,234,7,No,,Autumn,,No
2024-09-10,ASM001,Spring Assembly,20,1,No,,Autumn,,No
2024-09-11,SPR001,Steel Spring,112,6,No,,Autumn,,No
2024-09-11,BOL001,Hex Bolt M8,180,7,No,,Autumn,,No
2024-09-11,ASM001,Spring Assembly,15,2,No,,Autumn,,No
2024-09-12,SPR001,Steel Spring,83,5,No,,Autumn,,No
2024-09-12,BOL001,Hex Bolt M8,199,7,No,,Autumn,,No
2024-09-12,ASM001,Spring Assembly,22,0,No,,Autumn,,No
2024-09-13,SPR001,Steel Spring,90,4,No,,Autumn,,No
2024-09-13,BOL001,Hex Bolt M8,170,5,No,,Autumn,,No
2024-09-13,ASM001,Spring Assembly,17,2,No,,Autumn,,No
2024-09-16,SPR001,Steel Spring,99,5,Yes,600.0,Autumn,,No
2024-09-16,BOL001,Hex Bolt M8,198,7,Yes,1200.0,Autumn,,No
2024-09-16,ASM001,Spring Assembly,14,2,Yes,120.0,Autumn,,No
2024-09-17,SPR001,Steel Spring,106,5,No,,Autumn,,No
2024-09-17,BOL001,Hex Bolt M8,162,5,No,,Autumn,,No
2024-09-17,ASM001,Spring Assembly,16,2,No,,Autumn,,No
2024-09-18,SPR001,Steel Spring,116,6,No,,Autumn,,No
2024-09-18,BOL001,Hex Bolt M8,167,7,No,,Autumn,,No
2024-09-18,ASM001,Spring Assembly,15,0,No,,Autumn,,No
2024-09-19,SPR001,Steel Spring,99,5,No,,Autumn,,No
2024-09-19,BOL001,Hex Bolt M8,210,6,No,,Autumn,,No
2024-09-19,ASM001,Spring Assembly,21,0,No,,Autumn,,No
2024-09-20,SPR001,Steel Spring,92,4,No,,Autumn,,No
2024-09-20,BOL001,Hex Bolt M8,224,7,No,,Autumn,,No
2024-09-20,ASM001,Spring Assembly,17,2,No,,Autumn,,No
2024-09-23,SPR001,Steel Spring,106,5,Yes,600.0,Autumn,,No
2024-09-23,BOL001,Hex Bolt M8,162,4,Yes,1200.0,Autumn,,No
2024-09-23,ASM001,Spring Assembly,21,0,Yes,120.0,Autumn,,No
2024-09-24,SPR001,Steel Spring,98,5,No,,Autumn,,No
2024-09-24,BOL001,Hex Bolt M8,175,5,No,,Autumn,,No
2024-09-24,ASM001,Spring Assembly,24,2,No,,Autumn,,No
2024-09-25,SPR001,Steel Spring,94,5,No,,Autumn,,No
2024-09-25,BOL001,Hex Bolt M8,219,7,No,,Autumn,,No
2024-09-25,ASM001,Spring Assembly,17,2,No,,Autumn,,No
2024-09-26,SPR001,Steel Spring,88,4,No,,Autumn,,No
2024-09-26,BOL001,Hex Bolt M8,213,8,No,,Autumn,,No
2024-09-26,ASM001,Spring Assembly,17,1,No,,Autumn,,No
2024-09-27,SPR001,Steel Spring,83,3,No,,Autumn,,No
2024-09-27,BOL001,Hex Bolt M8,195,6,No,,Autumn,,No
2024-09-27,ASM001,Spring Assembly,16,2,No,,Autumn,,No
2024-09-30,SPR001,Steel Spring,115,6,Yes,600.0,Autumn,,No
2024-09-30,BOL001,Hex Bolt M8,242,9,Yes,1200.0,Autumn,,No
2024-09-30,ASM001,Spring Assembly,17,1,Yes,120.0,Autumn,,No
2024-10-01,SPR001,Steel Spring,86,3,No,,Autumn,,No
2024-10-01,BOL001,Hex Bolt M8,158,5,No,,Autumn,,No
2024-10-01,ASM001,Spring Assembly,19,2,No,,Autumn,,No
2024-10-02,SPR001,Steel Spring,106,4,No,,Autumn,,No
2024-10-02,BOL001,Hex Bolt M8,236,9,No,,Autumn,,No
2024-10-02,ASM001,Spring Assembly,22,2,No,,Autumn,,No
2024-10-03,SPR001,Steel Spring,104,4,No,,Autumn,,No
2024-10-03,BOL001,Hex Bolt M8,197,6,No,,Autumn,,No
2024-10-03,ASM001,Spring Assembly,17,1,No,,Autumn,,No
2024-10-04,SPR001,Steel Spring,108,4,No,,Autumn,,No
2024-10-04,BOL001,Hex Bolt M8,177,5,No,,Autumn,,No
2024-10-04,ASM001,Spring Assembly,15,1,No,,Autumn,,No
2024-10-07,SPR001,Steel Spring,89,3,Yes,600.0,Autumn,,No
2024-10-07,BOL001,Hex Bolt M8,200,8,Yes,1200.0,Autumn,,No
2024-10-07,ASM001,Spring Assembly,18,1,Yes,120.0,Autumn,,No
2024-10-08,SPR001,Steel Spring,95,3,No,,Autumn,,No
2024-10-08,BOL001,Hex Bolt M8,198,6,No,,Autumn,,No
2024-10-08,ASM001,Spring Assembly,21,0,No,,Autumn,,No
2024-10-09,SPR001,Steel Spring,89,4,No,,Autumn,,No
2024-10-09,BOL001,Hex Bolt M8,176,7,No,,Autumn,,No
2024-10-09,ASM001,Spring Assembly,17,0,No,,Autumn,,No
2024-10-10,SPR001,Steel Spring,93,3,No,,Autumn,,No
2024-10-10,BOL001,Hex Bolt M8,205,6,No,,Autumn,,No
2024-10-10,ASM001,Spring Assembly,17,0,No,,Autumn,,No
2024-10-11,SPR001,Steel Spring,98,5,No,,Autumn,,No
2024-10-11,BOL001,Hex Bolt M8,191,6,No,,Autumn,,No
2024-10-11,ASM001,Spring Assembly,14,0,No,,Autumn,,No
2024-10-14,SPR001,Steel Spring,96,5,Yes,600.0,Autumn,,No
2024-10-14,BOL001,Hex Bolt M8,224,8,Yes,1200.0,Autumn,,No
2024-10-14,ASM001,Spring Assembly,14,0,Yes,120.0,Autumn,,No
2024-10-15,SPR001,Steel Spring,92,4,No,,Autumn,,No
2024-10-15,BOL001,Hex Bolt M8,158,5,No,,Autumn,,No
2024-10-15,ASM001,Spring Assembly,24,0,No,,Autumn,,No
2024-10-16,SPR001,Steel Spring,105,6,No,,Autumn,,No
2024-10-16,BOL001,Hex Bolt M8,167,6,No,,Autumn,,No
2024-10-16,ASM001,Spring Assembly,24,0,No,,Autumn,,No
2024-10-17,SPR001,Steel Spring,127,5,No,,Autumn,,No
2024-10-17,BOL001,Hex Bolt M8,250,8,No,,Autumn,,No
2024-10-17,ASM001,Spring Assembly,17,1,No,,Autumn,,No
2024-10-18,SPR001,Steel Spring,109,6,No,,Autumn,,No
2024-10-18,BOL001,Hex Bolt M8,144,5,No,,Autumn,,No
2024-10-18,ASM001,Spring Assembly,20,2,No,,Autumn,,No
2024-10-21,SPR001,Steel Spring,93,4,Yes,600.0,Autumn,,No
2024-10-21,BOL001,Hex Bolt M8,177,6,Yes,1200.0,Autumn,,No
2024-10-21,ASM001,Spring Assembly,19,1,Yes,120.0,Autumn,,No
2024-10-22,SPR001,Steel Spring,86,5,No,,Autumn,,No
2024-10-22,BOL001,Hex Bolt M8,227,7,No,,Autumn,,No
2024-10-22,ASM001,Spring Assembly,17,0,No,,Autumn,,No
2024-10-23,SPR001,Steel Spring,117,5,No,,Autumn,,No
2024-10-23,BOL001,Hex Bolt M8,216,7,No,,Autumn,,No
2024-10-23,ASM001,Spring Assembly,16,0,No,,Autumn,,No
2024-10-24,SPR001,Steel Spring,91,4,No,,Autumn,,No
2024-10-24,BOL001,Hex Bolt M8,150,5,No,,Autumn,,No
2024-10-24,ASM001,Spring Assembly,23,2,No,,Autumn,,No
2024-10-25,SPR001,Steel Spring,97,3,No,,Autumn,,No
2024-10-25,BOL001,Hex Bolt M8,226,8,No,,Autumn,,No
2024-10-25,ASM001,Spring Assembly,17,1,No,,Autumn,,No
2024-10-28,SPR001,Steel Spring,110,6,Yes,600.0,Autumn,,No
2024-10-28,BOL001,Hex Bolt M8,198,5,Yes,1200.0,Autumn,,No
2024-10-28,ASM001,Spring Assembly,23,2,Yes,120.0,Autumn,,No
2024-10-29,SPR001,Steel Spring,86,3,No,,Autumn,,No
2024-10-29,BOL001,Hex Bolt M8,138,5,No,,Autumn,,No
2024-10-29,ASM001,Spring Assembly,20,1,No,,Autumn,,No
2024-10-30,SPR001,Steel Spring,114,6,No,,Autumn,,No
2024-10-30,BOL001,Hex Bolt M8,204,7,No,,Autumn,,No
2024-10-30,ASM001,Spring Assembly,21,1,No,,Autumn,,No
2024-10-31,SPR001,Steel Spring,113,4,No,,Autumn,,No
2024-10-31,BOL001,Hex Bolt M8,207,7,No,,Autumn,,No
2024-10-31,ASM001,Spring Assembly,21,2,No,,Autumn,,No
2024-11-01,SPR001,Steel Spring,92,4,No,,Autumn,,No
2024-11-01,BOL001,Hex Bolt M8,219,7,No,,Autumn,,No
2024-11-01,ASM001,Spring Assembly,23,0,No,,Autumn,,No
2024-11-04,SPR001,Steel Spring,111,4,Yes,600.0,Autumn,,No
2024-11-04,BOL001,Hex Bolt M8,217,6,Yes,1200.0,Autumn,,No
2024-11-04,ASM001,Spring Assembly,17,0,Yes,120.0,Autumn,,No
2024-11-05,SPR001,Steel Spring,112,5,No,,Autumn,,No
2024-11-05,BOL001,Hex Bolt M8,224,7,No,,Autumn,,No
2024-11-05,ASM001,Spring Assembly,15,2,No,,Autumn,,No
2024-11-06,SPR001,Steel Spring,106,4,No,,Autumn,,No
2024-11-06,BOL001,Hex Bolt M8,178,6,No,,Autumn,,No
2024-11-06,ASM001,Spring Assembly,20,1,No,,Autumn,,No
2024-11-07,SPR001,Steel Spring,107,5,No,,Autumn,,No
2024-11-07,BOL001,Hex Bolt M8,150,5,No,,Autumn,,No
2024-11-07,ASM001,Spring Assembly,21,2,No,,Autumn,,No
2024-11-08,SPR001,Steel Spring,98,5,No,,Autumn,,No
2024-11-08,BOL001,Hex Bolt M8,212,8,No,,Autumn,,No
2024-11-08,ASM001,Spring Assembly,21,2,No,,Autumn,,No
2024-11-11,SPR001,Steel Spring,112,5,Yes,600.0,Autumn,,No
2024-11-11,BOL001,Hex Bolt M8,219,8,Yes,1200.0,Autumn,,No
2024-11-11,ASM001,Spring Assembly,21,0,Yes,120.0,Autumn,,No
2024-11-12,SPR001,Steel Spring,105,5,No,,Autumn,,No
2024-11-12,BOL001,Hex Bolt M8,240,9,No,,Autumn,,No
2024-11-12,ASM001,Spring Assembly,22,2,No,,Autumn,,No
2024-11-13,SPR001,Steel Spring,121,4,No,,Autumn,,No
2024-11-13,BOL001,Hex Bolt M8,194,5,No,,Autumn,,No
2024-11-13,ASM001,Spring Assembly,18,2,No,,Autumn,,No
2024-11-14,SPR001,Steel Spring,85,3,No,,Autumn,,No
2024-11-14,BOL001,Hex Bolt M8,223,8,No,,Autumn,,No
2024-11-14,ASM001,Spring Assembly,19,0,No,,Autumn,,No
2024-11-15,SPR001,Steel Spring,112,4,No,,Autumn,,No
2024-11-15,BOL001,Hex Bolt M8,246,8,No,,Autumn,,No
2024-11-15,ASM001,Spring Assembly,19,2,No,,Autumn,,No
2024-11-18,SPR001,Steel Spring,112,4,Yes,600.0,Autumn,,No
2024-11-18,BOL001,Hex Bolt M8,169,7,Yes,1200.0,Autumn,,No
2024-11-18,ASM001,Spring Assembly,18,2,Yes,120.0,Autumn,,No
2024-11-19,SPR001,Steel Spring,104,5,No,,Autumn,,No
2024-11-19,BOL001,Hex Bolt M8,207,8,No,,Autumn,,No
2024-11-19,ASM001,Spring Assembly,17,1,No,,Autumn,,No
2024-11-20,SPR001,Steel Spring,117,4,No,,Autumn,,No
2024-11-20,BOL001,Hex Bolt M8,137,5,No,,Autumn,,No
2024-11-20,ASM001,Spring Assembly,21,0,No,,Autumn,,No
2024-11-21,SPR001,Steel Spring,75,3,No,,Autumn,,No
2024-11-21,BOL001,Hex Bolt M8,255,8,No,,Autumn,,No
2024-11-21,ASM001,Spring Assembly,17,2,No,,Autumn,,No
2024-11-22,SPR001,Steel Spring,113,5,No,,Autumn,,No
2024-11-22,BOL001,Hex Bolt M8,161,5,No,,Autumn,,No
2024-11-22,ASM001,Spring Assembly,19,0,No,,Autumn,,No
2024-11-25,SPR001,Steel Spring,93,5,Yes,600.0,Autumn,,No
2024-11-25,BOL001,Hex Bolt M8,167,6,Yes,1200.0,Autumn,,No
2024-11-25,ASM001,Spring Assembly,17,1,Yes,120.0,Autumn,,No
2024-11-26,SPR001,Steel Spring,95,4,No,,Autumn,,No
2024-11-26,BOL001,Hex Bolt M8,236,7,No,,Autumn,,No
2024-11-26,ASM001,Spring Assembly,25,0,No,,Autumn,,No
2024-11-27,SPR001,Steel Spring,114,5,No,,Autumn,,No
2024-11-27,BOL001,Hex Bolt M8,209,6,No,,Autumn,,No
2024-11-27,ASM001,Spring Assembly,19,1,No,,Autumn,,No
2024-11-28,SPR001,Steel Spring,86,5,No,,Autumn,,No
2024-11-28,BOL001,Hex Bolt M8,180,5,No,,Autumn,,No
